Ticker,Name,ISIN,Exchange,Currency,Region
6160,6160,CH1391448177,,HKD,CH
ABBN,ABBN,CH0012221716,,CHF,CH
ALC,ALC,CH0432492467,,CHF,CH
AMRZ,AMRZ,CH1430134226,,USD,CH
AVOL,AVOL,CH0023405456,,CHF,CH
BAER,BAER,CH0102484968,,CHF,CH
BARN,BARN,CH0009002962,,CHF,CH
BCVN,BCVN,CH0531751755,,CHF,CH
BEAN,BEAN,CH1101098163,,CHF,CH
BG,BG,CH1300646267,,USD,CH
BKW,BKW,CH0130293662,,CHF,CH
CB,CHUBB LTD,CH0044328745,XNYS,USD,CH
CCH,CCH,CH0198251305,,GBP,CH
CFR,CFR,CH0210483332,,CHF,CH
DSFIR,DSFIR,CH1216478797,,EUR,CH
EMSN,EMSN,CH0016440353,,CHF,CH
GALD,GALD,CH1335392721,,CHF,CH
GEBN,GEBN,CH0030170408,,CHF,CH
GIVN,GIVN,CH0010645932,,CHF,CH
GRMN,GRMN,CH0114405324,,USD,CH
HBAN,HBAN,CH0466642201,,CHF,CH
HOLN,HOLN,CH0012214059,,CHF,CH
KNIN,KNIN,CH0025238863,,CHF,CH
LAR,LITHIUM ARGENTINA CORP,CH1403212751,XTSE,CAD,CH
LISN,LISN,CH0010570759,,CHF,CH
LISP,LISP,CH0010570767,,CHF,CH
LOGN,LOGN,CH0025751329,,CHF,CH
LONN,LONN,CH0013841017,,CHF,CH
NESN,NESN,CH0038863350,,CHF,CH
NOVN,NOVN,CH0012005267,,CHF,CH
PGHN,PGHN,CH0024608827,,CHF,CH
RO,RO,CH0012032113,,CHF,CH
ROP,ROP,CH1499059983,,CHF,CH
SCHN,SCHN,CH0024638212,,CHF,CH
SCHP,SCHP,CH0024638196,,CHF,CH
SCMN,SCMN,CH0008742519,,CHF,CH
SDZ,SDZ,CH1243598427,,CHF,CH
SGSN,SGSN,CH1256740924,,CHF,CH
SIKA,SIKA,CH0418792922,,CHF,CH
SLHN,SLHN,CH0014852781,,CHF,CH
SOON,SOON,CH0012549785,,CHF,CH
SPSN,SPSN,CH0008038389,,CHF,CH
SREN,SREN,CH0126881561,,CHF,CH
STMN,STMN,CH1175448666,,CHF,CH
UBSG,UBSG,CH0244767585,,CHF,CH
UHR,UHR,CH0012255151,,CHF,CH
VACN,VACN,CH0311864901,,CHF,CH
ZURN,ZURN,CH0011075394,,CHF,CH
